"","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Satisfaction"
"24281",66200,"Male","Loyal Customer",44,"Business travel","Eco",550,3,2,2,2,4,3,4,4,3,3,4,2,4,4,23,21,"dissatisfied"
"19879",59717,"Female","disloyal Customer",45,"Business travel","Eco Plus",964,1,1,1,3,3,1,3,3,2,2,4,2,3,3,0,0,"neutral"
"17734",11880,"Male","Loyal Customer",9,"Personal Travel","Eco",912,2,5,2,3,2,1,2,5,3,5,5,2,3,2,181,170,"dissatisfied"
"15300",19379,"Female","Loyal Customer",43,"Business travel","Eco",844,3,2,2,2,4,1,3,3,3,3,3,2,3,4,5,0,"satisfied"
"22211",3882,"Male","Loyal Customer",42,"Business travel","Business",213,4,2,3,3,4,3,4,1,1,1,4,3,1,4,59,44,"neutral"
"4526",84776,"Female","Loyal Customer",27,"Business travel","Business",1703,5,5,5,5,5,5,5,5,3,5,4,5,4,5,10,0,"satisfied"
"1723",51776,"Male","Loyal Customer",48,"Personal Travel","Eco",370,4,5,2,1,5,2,5,5,3,4,4,5,5,5,89,78,"neutral"
"2798",80699,"Male","Loyal Customer",47,"Personal Travel","Eco",874,2,0,2,3,4,2,4,4,3,4,5,5,4,4,0,0,"neutral"
"22064",7636,"Female","disloyal Customer",20,"Business travel","Business",604,0,4,0,2,1,0,1,1,3,4,5,4,4,1,0,3,"satisfied"
"14986",103756,"Male","Loyal Customer",51,"Business travel","Business",2108,3,3,3,3,4,4,5,4,4,4,4,3,4,4,31,43,"satisfied"
"3612",51500,"Male","Loyal Customer",19,"Personal Travel","Business",237,2,5,2,1,2,2,2,2,3,3,5,4,4,2,0,0,"dissatisfied"
"4812",16513,"Male","Loyal Customer",64,"Business travel","Eco Plus",143,4,4,4,4,4,4,4,4,2,4,1,2,5,4,0,0,"satisfied"
"8946",92035,"Female","Loyal Customer",28,"Business travel","Business",1535,3,3,5,3,4,4,4,4,5,5,4,5,5,4,0,0,"satisfied"
"12099",11942,"Female","Loyal Customer",9,"Business travel","Eco",781,1,3,3,3,1,1,2,1,1,2,4,4,3,1,0,5,"dissatisfied"
"6529",124386,"Female","Loyal Customer",63,"Personal Travel","Eco",575,4,4,4,1,2,4,4,3,3,4,2,5,3,4,0,1,"dissatisfied"
"13356",36994,"Male","Loyal Customer",30,"Business travel","Eco",667,5,5,5,5,5,5,5,5,4,3,3,5,5,5,0,0,"satisfied"
"24990",75283,"Male","Loyal Customer",51,"Personal Travel","Eco",1829,2,3,1,3,3,1,3,3,3,4,3,2,2,3,13,0,"dissatisfied"
"22689",71844,"Female","Loyal Customer",26,"Business travel","Eco",1846,3,3,3,3,3,3,3,3,2,5,4,3,3,3,0,16,"neutral"
"15524",86163,"Female","Loyal Customer",39,"Business travel","Business",306,2,2,2,2,2,5,5,5,5,5,5,5,5,3,2,0,"satisfied"
"25604",79598,"Male","Loyal Customer",55,"Business travel","Business",2401,5,5,5,5,4,5,4,5,5,4,5,5,5,4,41,33,"satisfied"
"7053",117315,"Male","Loyal Customer",38,"Personal Travel","Eco Plus",368,2,3,3,3,2,3,4,2,3,4,4,4,4,2,66,54,"neutral"
"18290",34163,"Male","disloyal Customer",25,"Business travel","Eco",1237,4,4,4,2,5,4,3,5,3,2,4,1,3,5,0,0,"satisfied"
"16719",93786,"Male","disloyal Customer",25,"Business travel","Eco",1259,3,2,2,1,4,2,4,4,3,5,5,3,5,4,11,12,"neutral"
"3149",31480,"Female","Loyal Customer",32,"Business travel","Business",2001,4,4,4,4,5,5,5,5,2,4,1,4,4,5,2,4,"satisfied"
"2222",43640,"Male","Loyal Customer",23,"Business travel","Business",3130,5,5,5,5,1,2,1,1,4,5,3,2,4,1,35,53,"satisfied"
"20062",35355,"Female","Loyal Customer",24,"Business travel","Eco",1005,4,2,2,2,4,4,4,4,5,2,3,4,2,4,27,38,"satisfied"
"22135",113597,"Female","disloyal Customer",38,"Business travel","Eco",386,2,1,1,2,2,1,2,2,3,1,2,3,1,2,25,17,"dissatisfied"
"23404",18195,"Female","Loyal Customer",34,"Business travel","Eco",228,4,4,5,4,4,4,4,4,5,5,4,4,3,4,0,0,"satisfied"
"804",104066,"Male","Loyal Customer",30,"Business travel","Eco Plus",1044,4,4,4,4,4,4,4,4,2,3,4,1,3,4,15,12,"neutral"
"9272",108481,"Male","Loyal Customer",49,"Business travel","Business",570,2,2,2,2,2,5,5,5,5,5,5,3,5,3,34,27,"satisfied"
"825",37157,"Male","Loyal Customer",54,"Business travel","Business",1797,3,3,3,3,5,4,2,4,4,4,4,2,4,4,60,55,"satisfied"
"20995",67823,"Female","Loyal Customer",52,"Business travel","Eco",771,4,4,4,4,4,2,1,3,3,4,3,1,3,3,57,51,"satisfied"
"5337",69586,"Male","Loyal Customer",12,"Personal Travel","Eco",2475,3,4,3,1,3,5,4,3,3,4,4,4,4,4,15,61,"dissatisfied"
"7691",84334,"Female","Loyal Customer",37,"Business travel","Business",2075,3,3,3,3,2,4,5,5,5,5,5,5,5,4,26,13,"satisfied"
"11166",74427,"Female","Loyal Customer",57,"Business travel","Business",1205,2,2,2,2,2,5,4,5,5,5,5,4,5,5,0,0,"satisfied"
"14096",46462,"Male","Loyal Customer",33,"Business travel","Business",2946,2,2,2,2,5,5,4,5,5,2,5,3,4,5,0,0,"satisfied"
"16239",36256,"Female","Loyal Customer",46,"Business travel","Business",2981,3,3,3,3,4,1,3,5,5,5,5,5,5,3,0,0,"satisfied"
"22539",44146,"Male","Loyal Customer",17,"Personal Travel","Eco",120,3,5,3,4,4,3,4,4,2,4,1,3,5,4,33,13,"dissatisfied"
"2278",52077,"Male","Loyal Customer",44,"Business travel","Eco",438,4,2,2,2,4,4,4,4,3,3,2,5,3,4,0,9,"satisfied"
"25549",47801,"Male","Loyal Customer",47,"Business travel","Eco",451,5,5,5,5,5,5,5,5,5,5,4,4,2,5,0,0,"satisfied"
"16322",111043,"Male","Loyal Customer",38,"Business travel","Business",2405,1,1,1,1,5,1,3,5,5,5,5,3,5,3,11,7,"satisfied"
"10134",49198,"Female","Loyal Customer",47,"Business travel","Business",2052,3,3,3,3,5,4,4,4,4,4,5,5,4,4,5,0,"satisfied"
"19077",32476,"Male","Loyal Customer",33,"Business travel","Eco",216,5,3,3,3,5,5,5,5,3,1,4,1,4,5,40,45,"satisfied"
"9843",96032,"Male","Loyal Customer",45,"Business travel","Eco",1235,1,1,1,1,1,1,1,1,3,2,4,3,3,1,0,0,"dissatisfied"
"2383",80974,"Female","disloyal Customer",38,"Business travel","Business",297,3,3,3,5,3,3,2,3,4,4,5,4,5,3,0,0,"dissatisfied"
"6387",31410,"Female","disloyal Customer",22,"Business travel","Eco",1306,4,4,4,1,5,4,5,5,4,4,1,3,4,5,0,13,"satisfied"
"1632",41133,"Male","disloyal Customer",37,"Business travel","Business",216,4,4,4,3,2,4,2,2,1,3,4,1,3,2,90,76,"dissatisfied"
"318",2389,"Female","Loyal Customer",49,"Business travel","Business",1625,5,5,5,5,4,4,4,5,5,5,5,4,5,5,0,4,"satisfied"
"8611",95966,"Male","Loyal Customer",58,"Business travel","Business",2645,5,5,5,5,2,4,5,3,3,3,3,4,3,5,46,40,"satisfied"
"1627",102108,"Female","disloyal Customer",61,"Business travel","Business",258,3,3,3,1,4,3,4,4,3,3,5,4,5,4,48,41,"dissatisfied"
"6038",29725,"Female","Loyal Customer",66,"Personal Travel","Eco",2777,3,3,4,3,4,1,2,4,3,3,4,2,1,2,52,68,"dissatisfied"
"12889",61323,"Female","disloyal Customer",25,"Business travel","Eco Plus",462,4,3,5,4,2,5,3,2,1,5,3,2,3,2,25,19,"dissatisfied"
"20623",43342,"Male","Loyal Customer",24,"Business travel","Business",387,3,3,3,3,3,3,3,3,3,5,3,1,4,3,18,23,"dissatisfied"
"15995",66174,"Male","disloyal Customer",45,"Business travel","Business",460,2,2,2,5,5,2,3,5,5,5,4,5,4,5,0,0,"dissatisfied"
"9758",66049,"Male","Loyal Customer",32,"Business travel","Eco",1055,3,5,2,5,3,2,3,3,1,5,4,4,4,3,0,0,"neutral"
"10402",93895,"Female","Loyal Customer",43,"Personal Travel","Eco",590,1,4,1,4,3,3,3,2,2,1,2,3,2,4,0,0,"dissatisfied"
"22085",106662,"Male","disloyal Customer",20,"Business travel","Eco",1590,3,3,3,1,2,3,2,2,4,2,3,3,2,2,9,0,"neutral"
"15303",92190,"Female","Loyal Customer",40,"Business travel","Business",1979,5,5,5,5,4,3,5,5,5,5,5,4,5,4,0,5,"satisfied"
"19586",16900,"Male","Loyal Customer",36,"Personal Travel","Eco",746,2,5,3,2,3,3,3,3,4,5,5,4,5,3,0,0,"dissatisfied"
"10448",80515,"Female","Loyal Customer",64,"Personal Travel","Eco",1749,3,4,3,4,3,2,2,4,1,3,4,2,3,2,182,197,"neutral"
"25173",97668,"Male","disloyal Customer",27,"Business travel","Eco",491,3,2,3,3,2,3,2,2,4,3,4,1,3,2,6,0,"dissatisfied"
"9751",16335,"Male","Loyal Customer",63,"Personal Travel","Eco",628,2,4,2,1,5,2,2,5,5,2,4,3,4,5,0,0,"neutral"
"11735",94227,"Male","Loyal Customer",44,"Business travel","Business",293,5,5,5,5,2,4,4,4,4,4,4,5,4,5,6,9,"satisfied"
"22232",27151,"Male","disloyal Customer",29,"Business travel","Business",2640,4,4,4,4,4,4,4,2,2,2,4,4,1,4,8,0,"neutral"
"12053",53663,"Male","Loyal Customer",51,"Personal Travel","Business",1208,3,3,3,3,3,3,1,3,3,3,2,3,3,3,0,0,"neutral"
"7443",28392,"Male","Loyal Customer",14,"Personal Travel","Eco",763,4,5,4,2,2,4,2,2,3,5,1,2,5,2,0,0,"satisfied"
"12169",65713,"Male","Loyal Customer",68,"Business travel","Business",1061,3,4,4,4,5,3,2,3,3,3,3,3,3,3,23,10,"dissatisfied"
"21203",70677,"Female","Loyal Customer",27,"Business travel","Eco",447,5,2,2,2,5,5,5,5,2,2,1,1,5,5,0,0,"satisfied"
"24510",61925,"Male","Loyal Customer",19,"Personal Travel","Eco",550,4,0,4,1,1,4,1,1,4,2,3,5,4,1,7,0,"dissatisfied"
"1235",3603,"Male","Loyal Customer",25,"Personal Travel","Eco",999,2,5,2,2,2,2,2,2,3,3,5,5,5,2,0,0,"neutral"
"7365",79045,"Male","Loyal Customer",55,"Business travel","Business",2797,0,5,0,3,2,4,5,3,3,3,3,4,3,3,0,0,"satisfied"
"23248",32388,"Female","Loyal Customer",55,"Business travel","Eco",101,4,5,5,5,2,3,2,4,4,4,4,3,4,5,0,0,"satisfied"
"4968",122722,"Male","disloyal Customer",45,"Business travel","Business",651,1,1,1,3,3,1,3,3,4,5,4,3,4,3,0,0,"dissatisfied"
"12336",81099,"Female","Loyal Customer",48,"Business travel","Business",991,4,4,4,4,3,4,5,5,5,5,5,5,5,5,0,0,"satisfied"
"14095",55733,"Female","Loyal Customer",53,"Business travel","Business",2052,1,1,1,1,3,3,4,5,5,4,5,4,5,3,8,13,"satisfied"
"24218",22657,"Female","Loyal Customer",18,"Personal Travel","Eco Plus",223,3,4,3,3,3,3,3,3,1,2,3,2,3,3,52,67,"neutral"
"3988",21306,"Female","Loyal Customer",23,"Personal Travel","Eco",526,4,5,4,3,4,4,4,4,4,2,5,5,5,4,0,0,"neutral"
"15395",59375,"Female","disloyal Customer",38,"Business travel","Eco",949,4,4,4,3,4,4,4,4,4,2,1,3,1,4,0,0,"neutral"
"11679",125817,"Male","disloyal Customer",28,"Business travel","Eco",861,3,3,3,4,3,2,2,3,1,4,3,2,2,2,300,307,"dissatisfied"
"24728",43508,"Male","Loyal Customer",50,"Personal Travel","Eco",524,3,4,3,3,5,3,5,5,3,4,4,3,5,5,7,39,"dissatisfied"
"19783",110592,"Female","Loyal Customer",17,"Personal Travel","Eco",674,5,4,5,2,5,5,5,5,4,4,5,4,5,5,29,30,"satisfied"
"10681",36794,"Female","Loyal Customer",47,"Personal Travel","Eco",2704,3,5,3,3,3,3,2,4,5,4,4,2,3,2,138,153,"neutral"
"3491",46830,"Male","Loyal Customer",52,"Business travel","Eco",776,4,3,3,3,4,4,4,5,4,2,3,4,3,4,157,134,"satisfied"
"15546",58293,"Male","Loyal Customer",48,"Personal Travel","Eco",413,2,4,2,3,3,2,3,3,4,5,4,3,3,3,0,0,"neutral"
"15286",119846,"Female","Loyal Customer",15,"Business travel","Business",3588,2,4,2,4,2,2,2,2,4,2,3,2,4,2,0,0,"dissatisfied"
"15117",67539,"Female","Loyal Customer",42,"Business travel","Business",1205,4,4,4,4,4,4,5,4,4,4,4,3,4,4,0,0,"satisfied"
"4046",71193,"Male","Loyal Customer",46,"Business travel","Business",2586,2,2,2,2,3,4,5,4,4,4,4,5,4,4,38,33,"satisfied"
"15999",41788,"Male","Loyal Customer",32,"Business travel","Business",196,2,2,2,2,4,4,5,4,4,3,5,4,4,4,18,30,"satisfied"
"16921",129355,"Male","Loyal Customer",39,"Business travel","Business",2475,1,1,2,1,2,4,4,4,4,4,4,3,4,5,25,13,"satisfied"
"3101",32086,"Male","Loyal Customer",48,"Business travel","Business",216,1,1,1,1,1,5,3,5,5,5,4,5,5,2,0,0,"satisfied"
"5648",37902,"Female","Loyal Customer",58,"Business travel","Business",2609,3,4,4,4,2,4,3,3,3,3,3,3,3,1,0,0,"dissatisfied"
"14576",76217,"Male","disloyal Customer",24,"Business travel","Business",1175,0,0,0,2,3,0,3,3,4,5,5,3,5,3,0,0,"satisfied"
"7461",126988,"Female","Loyal Customer",45,"Business travel","Business",647,2,2,2,2,5,5,4,5,5,5,5,3,5,5,16,11,"satisfied"
"10550",119795,"Male","disloyal Customer",13,"Business travel","Eco",936,2,2,2,4,2,2,2,2,3,3,5,5,5,2,0,0,"neutral"
"11990",40031,"Male","Loyal Customer",19,"Personal Travel","Eco",525,2,2,5,3,3,5,3,3,4,1,3,2,4,3,0,0,"dissatisfied"
"15086",127109,"Male","Loyal Customer",29,"Personal Travel","Eco",621,2,1,2,3,3,2,3,3,1,4,2,1,3,3,4,0,"dissatisfied"
"5868",129334,"Male","Loyal Customer",37,"Business travel","Business",2475,1,1,1,1,5,4,4,5,5,5,5,5,5,3,0,0,"satisfied"
"20479",69931,"Male","Loyal Customer",66,"Personal Travel","Eco Plus",1514,1,5,0,5,5,0,5,5,3,2,5,3,4,5,0,0,"dissatisfied"
"22040",24944,"Male","Loyal Customer",38,"Business travel","Business",1747,1,3,1,1,4,5,1,5,5,5,5,4,5,2,26,4,"satisfied"
"23310",102882,"Female","Loyal Customer",20,"Personal Travel","Eco",472,3,3,3,4,4,3,4,4,3,5,1,2,2,4,3,0,"dissatisfied"
"5278",54817,"Female","Loyal Customer",36,"Business travel","Business",862,4,4,4,4,5,5,3,4,4,5,4,1,4,4,0,0,"satisfied"
"6511",14079,"Male","disloyal Customer",27,"Business travel","Eco",371,1,0,1,2,3,1,3,3,1,2,1,5,4,3,0,0,"neutral"
"24231",48592,"Female","Loyal Customer",21,"Personal Travel","Eco",916,1,5,2,4,2,2,3,2,4,2,4,1,5,2,0,5,"neutral"
"19685",87377,"Female","Loyal Customer",34,"Business travel","Business",425,3,3,3,3,2,3,3,3,3,3,3,3,3,3,0,0,"neutral"
"19528",32077,"Male","Loyal Customer",46,"Business travel","Business",3320,0,5,0,2,4,1,2,2,2,2,2,1,2,3,0,0,"satisfied"
"25466",10354,"Female","Loyal Customer",55,"Business travel","Business",1778,4,4,4,4,3,5,5,5,5,5,5,3,5,5,0,0,"satisfied"
"9537",97553,"Male","Loyal Customer",39,"Business travel","Eco Plus",462,5,4,4,4,5,5,5,5,1,5,1,4,4,5,0,0,"satisfied"
"23703",65064,"Male","Loyal Customer",10,"Personal Travel","Eco",247,1,5,1,3,5,1,5,5,4,3,4,5,5,5,0,0,"neutral"
"25739",29854,"Male","disloyal Customer",39,"Business travel","Eco",261,4,0,5,1,5,5,3,5,2,2,2,1,3,5,0,0,"satisfied"
"1070",119765,"Male","Loyal Customer",7,"Personal Travel","Eco Plus",1325,3,5,3,4,2,3,4,2,3,5,4,5,5,2,0,6,"dissatisfied"
"24895",59894,"Female","Loyal Customer",41,"Business travel","Business",997,4,4,4,4,4,4,4,5,5,5,5,3,5,3,0,0,"satisfied"
"25917",32900,"Male","Loyal Customer",54,"Personal Travel","Eco",163,3,4,3,4,2,3,2,2,3,2,5,4,4,2,0,0,"dissatisfied"
"2751",3083,"Female","Loyal Customer",34,"Business travel","Business",1884,3,1,1,1,3,4,3,3,3,3,3,3,3,3,8,0,"neutral"
"15697",25364,"Female","Loyal Customer",53,"Business travel","Business",2139,1,1,1,1,2,2,2,4,4,4,4,3,4,4,4,24,"satisfied"
"16640",6473,"Female","Loyal Customer",17,"Personal Travel","Eco Plus",296,3,4,3,3,3,2,2,4,3,5,5,2,3,2,89,148,"dissatisfied"
"4135",109228,"Female","Loyal Customer",57,"Personal Travel","Eco",684,4,4,4,3,5,4,5,4,4,4,4,4,4,3,41,30,"dissatisfied"
"45",11536,"Female","Loyal Customer",36,"Business travel","Eco Plus",267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,"neutral"
"17711",55559,"Female","disloyal Customer",25,"Business travel","Eco Plus",550,3,3,3,4,1,3,1,1,4,5,3,3,4,1,39,47,"neutral"
"6476",117338,"Male","disloyal Customer",23,"Business travel","Eco",296,1,0,2,2,2,2,2,2,4,2,4,3,5,2,0,0,"neutral"
"15456",72603,"Male","Loyal Customer",22,"Personal Travel","Eco",918,5,5,5,5,1,5,1,1,3,5,5,5,5,1,0,0,"satisfied"
"13998",95109,"Male","Loyal Customer",68,"Personal Travel","Eco",239,3,4,3,1,5,3,5,5,4,4,4,5,5,5,4,0,"dissatisfied"
"7635",73536,"Male","Loyal Customer",59,"Business travel","Business",2415,3,3,3,3,2,5,5,5,5,5,5,5,5,4,0,0,"satisfied"
"4924",93068,"Male","Loyal Customer",53,"Personal Travel","Eco",297,3,5,3,4,3,3,3,3,4,5,5,3,4,3,36,28,"neutral"
"19539",39772,"Male","Loyal Customer",28,"Business travel","Eco",521,4,3,3,3,4,4,4,4,3,3,2,4,2,4,0,0,"satisfied"
"15193",76546,"Female","Loyal Customer",52,"Business travel","Business",481,1,1,1,1,4,4,4,5,5,5,5,3,5,3,3,0,"satisfied"
"14737",115296,"Female","disloyal Customer",42,"Business travel","Business",390,4,3,3,2,2,4,2,2,3,3,5,3,5,2,2,0,"satisfied"
"22153",67779,"Male","Loyal Customer",60,"Business travel","Business",3352,3,3,3,3,2,3,4,3,3,3,3,4,3,1,0,2,"neutral"
"7789",92840,"Female","Loyal Customer",32,"Personal Travel","Eco",1541,3,5,3,2,5,3,5,5,3,2,4,4,5,5,0,0,"neutral"
"16238",23139,"Female","Loyal Customer",52,"Business travel","Business",3268,4,1,1,1,3,4,3,4,4,4,4,4,4,3,0,9,"dissatisfied"
"20375",38106,"Female","Loyal Customer",66,"Business travel","Business",1185,4,4,4,4,4,4,4,5,5,5,5,2,5,4,0,0,"satisfied"
"12447",114591,"Male","Loyal Customer",55,"Business travel","Business",2389,1,1,1,1,4,5,4,5,5,5,5,4,5,3,0,0,"satisfied"
"1702",79922,"Female","disloyal Customer",26,"Business travel","Eco",1096,3,3,3,3,4,3,4,4,2,2,3,3,4,4,0,0,"neutral"
"23841",24295,"Female","Loyal Customer",59,"Business travel","Eco Plus",147,5,1,1,1,3,5,2,5,5,5,5,2,5,4,0,0,"satisfied"
"9020",43882,"Female","disloyal Customer",24,"Business travel","Eco",144,4,4,4,4,4,4,4,4,1,3,4,2,4,4,0,24,"dissatisfied"
"13119",82734,"Male","Loyal Customer",43,"Business travel","Business",409,1,1,1,1,4,4,5,4,4,5,4,4,4,3,0,0,"satisfied"
"4298",111907,"Female","Loyal Customer",50,"Business travel","Business",628,4,4,5,4,2,5,5,4,4,4,4,3,4,3,9,17,"satisfied"
"25943",91254,"Male","Loyal Customer",44,"Personal Travel","Eco",404,3,1,3,2,3,5,2,2,4,2,3,2,4,2,131,138,"neutral"
"14766",80732,"Male","disloyal Customer",37,"Business travel","Business",393,1,1,1,2,5,1,5,5,3,2,5,4,5,5,0,0,"neutral"
"22672",55207,"Male","Loyal Customer",36,"Business travel","Eco Plus",903,4,1,1,1,4,3,4,4,4,4,4,2,4,4,0,18,"neutral"
"21510",46479,"Female","Loyal Customer",58,"Personal Travel","Business",251,2,5,2,2,1,2,3,1,1,2,1,1,1,5,0,0,"neutral"
"17148",53682,"Female","Loyal Customer",29,"Business travel","Eco",1208,0,0,0,4,4,0,4,4,4,4,3,1,1,4,0,0,"satisfied"
"7348",64214,"Female","Loyal Customer",36,"Business travel","Business",1660,3,3,3,3,5,4,5,4,4,4,4,5,4,5,33,45,"satisfied"
"22216",64725,"Male","Loyal Customer",41,"Business travel","Business",2604,0,0,0,3,3,5,4,4,4,4,4,3,4,3,0,0,"satisfied"
"20569",27925,"Female","Loyal Customer",30,"Personal Travel","Eco",689,3,5,3,2,2,3,1,2,5,3,5,4,5,2,0,0,"neutral"
"3167",93461,"Male","Loyal Customer",15,"Personal Travel","Eco",723,1,2,1,4,4,1,4,4,4,4,3,1,3,4,58,49,"dissatisfied"
"16174",60362,"Male","Loyal Customer",52,"Business travel","Business",1452,4,1,4,4,5,5,4,5,5,5,5,5,5,4,3,0,"satisfied"
"5384",97404,"Male","Loyal Customer",55,"Business travel","Business",2254,4,4,5,4,3,5,4,4,4,4,4,4,4,3,22,8,"satisfied"
"21675",33028,"Female","Loyal Customer",13,"Personal Travel","Eco",163,4,4,4,4,3,4,3,3,4,5,2,5,3,3,0,0,"satisfied"
"887",97188,"Female","Loyal Customer",48,"Personal Travel","Eco",1129,4,4,4,1,4,4,4,3,3,4,2,5,3,4,0,0,"dissatisfied"
"756",97689,"Female","disloyal Customer",27,"Business travel","Eco Plus",491,3,3,3,4,1,3,1,1,4,5,3,3,4,1,15,11,"dissatisfied"
"25845",96966,"Male","disloyal Customer",27,"Business travel","Business",883,5,5,5,2,4,5,5,4,3,4,4,5,5,4,32,32,"satisfied"
"20622",101417,"Male","Loyal Customer",55,"Business travel","Business",2324,4,4,5,4,2,4,4,5,5,5,5,4,5,4,0,0,"satisfied"
"20449",44885,"Male","Loyal Customer",36,"Business travel","Eco",557,3,1,1,1,3,4,3,3,5,2,3,5,3,3,0,0,"satisfied"
"13157",109533,"Male","disloyal Customer",20,"Business travel","Eco",920,2,2,2,4,5,2,5,5,2,2,3,3,4,5,14,0,"dissatisfied"
"9571",18172,"Female","disloyal Customer",25,"Business travel","Eco",363,2,3,2,2,1,2,5,1,5,5,3,3,5,1,0,0,"dissatisfied"
"15114",117874,"Female","Loyal Customer",35,"Business travel","Business",2987,2,2,2,2,2,4,4,5,5,5,5,4,5,3,6,0,"satisfied"
"12812",125355,"Male","disloyal Customer",26,"Business travel","Eco",599,1,2,1,2,5,1,5,5,1,5,3,1,2,5,94,126,"neutral"
"3712",28026,"Male","Loyal Customer",48,"Personal Travel","Eco",763,3,5,3,3,1,3,1,1,4,3,5,5,4,1,0,0,"neutral"
"5552",94049,"Male","Loyal Customer",46,"Business travel","Business",1766,4,4,4,4,4,4,4,5,5,5,5,4,5,5,56,53,"satisfied"
"6348",19656,"Female","Loyal Customer",67,"Personal Travel","Eco",763,1,2,1,4,3,4,3,2,2,1,2,4,2,1,15,3,"dissatisfied"
"22573",117347,"Female","Loyal Customer",43,"Business travel","Business",296,3,3,3,3,5,4,4,5,5,5,5,5,5,3,3,0,"satisfied"
"14600",5321,"Male","Loyal Customer",58,"Personal Travel","Eco Plus",383,1,1,4,3,5,4,5,5,2,4,3,2,3,5,0,0,"neutral"
"1363",87138,"Male","Loyal Customer",28,"Business travel","Eco Plus",594,2,4,4,4,2,2,2,2,4,1,4,4,4,2,5,87,"dissatisfied"
"12546",13618,"Male","Loyal Customer",48,"Business travel","Business",1014,5,5,5,5,3,4,4,4,4,4,4,3,4,3,29,47,"satisfied"
"13457",37230,"Female","disloyal Customer",29,"Business travel","Business",1041,1,1,1,5,3,1,3,3,3,3,5,5,4,3,16,2,"neutral"
"24807",10171,"Male","Loyal Customer",59,"Business travel","Business",482,4,4,4,4,2,5,5,4,4,4,4,3,4,3,0,0,"satisfied"
"15153",102976,"Female","Loyal Customer",54,"Business travel","Business",490,5,5,5,5,2,5,5,5,5,4,5,5,5,3,0,0,"satisfied"
"15155",76082,"Male","Loyal Customer",43,"Business travel","Eco",269,4,4,4,4,4,4,4,4,2,3,1,4,1,4,0,0,"satisfied"
"914",122185,"Male","Loyal Customer",49,"Business travel","Business",541,4,4,4,4,5,4,5,3,3,4,3,5,3,5,0,0,"satisfied"
"2970",908,"Female","disloyal Customer",37,"Business travel","Business",270,2,2,2,4,5,2,5,5,3,1,4,3,4,5,0,0,"dissatisfied"
"9427",128847,"Male","Loyal Customer",64,"Personal Travel","Eco",2586,3,5,3,4,3,2,2,5,5,4,4,2,5,2,11,5,"dissatisfied"
"14405",25601,"Female","Loyal Customer",52,"Personal Travel","Eco",696,2,4,2,1,3,3,4,2,2,2,2,1,2,5,113,93,"neutral"
"21853",7378,"Male","Loyal Customer",9,"Personal Travel","Eco",888,2,4,2,1,5,2,5,5,3,5,1,5,1,5,7,0,"neutral"
"12765",23862,"Male","Loyal Customer",11,"Personal Travel","Eco",552,1,4,1,1,2,1,2,2,4,5,4,5,3,2,0,0,"neutral"
"16385",129684,"Male","Loyal Customer",44,"Business travel","Business",337,1,1,1,1,2,4,5,4,4,4,4,3,4,4,0,3,"satisfied"
"24496",72067,"Male","disloyal Customer",35,"Business travel","Eco",1281,3,3,3,4,2,3,2,2,1,1,4,2,3,2,54,39,"dissatisfied"
"15198",10973,"Male","disloyal Customer",27,"Business travel","Business",224,3,3,3,1,5,3,5,5,2,4,1,2,1,5,5,5,"dissatisfied"
"25810",85799,"Female","disloyal Customer",24,"Business travel","Eco",126,5,3,5,1,2,5,2,2,4,5,2,4,3,2,3,1,"satisfied"
"17927",123197,"Female","Loyal Customer",45,"Personal Travel","Eco",507,1,4,2,3,4,5,5,5,5,2,5,3,5,3,0,1,"neutral"
"21701",33860,"Male","Loyal Customer",62,"Personal Travel","Eco",1609,4,4,4,3,4,4,4,4,5,3,5,4,5,4,20,0,"dissatisfied"
"3466",124821,"Female","disloyal Customer",23,"Business travel","Eco",280,0,3,0,3,2,0,2,2,2,1,5,1,3,2,22,15,"satisfied"
"11556",24204,"Female","disloyal Customer",37,"Business travel","Eco",302,0,0,1,1,5,1,5,5,1,3,5,3,3,5,0,0,"satisfied"
"18176",108407,"Male","Loyal Customer",30,"Business travel","Business",1636,1,3,3,3,1,1,1,1,3,4,3,1,4,1,1,0,"dissatisfied"
"25803",88962,"Male","Loyal Customer",68,"Business travel","Business",1840,5,5,4,5,2,4,5,5,5,5,5,5,5,4,0,5,"satisfied"
"7217",25897,"Female","Loyal Customer",57,"Personal Travel","Eco",907,3,5,3,1,5,4,5,2,2,3,2,4,2,3,0,0,"dissatisfied"
"5799",116720,"Female","Loyal Customer",34,"Business travel","Eco Plus",337,3,5,5,5,3,3,3,3,4,4,4,2,3,3,1,0,"neutral"
"20874",128872,"Male","disloyal Customer",23,"Business travel","Business",968,5,0,5,4,5,4,4,3,3,5,4,4,3,4,0,0,"satisfied"
"11966",54176,"Female","Loyal Customer",80,"Business travel","Business",3201,2,2,2,2,1,1,1,5,5,5,5,3,5,1,0,0,"satisfied"
